industry,code
CI005006.WI,300325.SZ
CI005006.WI,300340.SZ
CI005006.WI,300343.SZ
CI005006.WI,300387.SZ
CI005006.WI,300398.SZ
CI005006.WI,300405.SZ
CI005006.WI,300429.SZ
CI005006.WI,300437.SZ
CI005006.WI,300459.SZ
CI005006.WI,300478.SZ
CI005006.WI,300481.SZ
CI005006.WI,300487.SZ
CI005006.WI,300505.SZ
CI005006.WI,300522.SZ
CI005006.WI,300530.SZ
CI005006.WI,300535.SZ
CI005006.WI,300537.SZ
CI005006.WI,300538.SZ
CI005006.WI,300539.SZ
CI005006.WI,300547.SZ
CI005006.WI,300568.SZ
CI005006.WI,300575.SZ
CI005006.WI,300576.SZ
CI005006.WI,300586.SZ
CI005006.WI,300587.SZ
CI005006.WI,300596.SZ
CI005006.WI,300599.SZ
CI005006.WI,300610.SZ
CI005006.WI,300641.SZ
CI005006.WI,300655.SZ
CI005006.WI,300665.SZ
CI005006.WI,300684.SZ
CI005006.WI,300690.SZ
CI005006.WI,300699.SZ
CI005006.WI,300716.SZ
CI005006.WI,300717.SZ
CI005006.WI,300721.SZ
CI005006.WI,300727.SZ
CI005006.WI,300740.SZ
CI005006.WI,600063.SH
CI005006.WI,600074.SH
CI005006.WI,600075.SH
CI005006.WI,600078.SH
CI005006.WI,600091.SH
CI005006.WI,600096.SH
CI005006.WI,600135.SH
CI005006.WI,600141.SH
CI005006.WI,600143.SH
CI005006.WI,600155.SH
CI005006.WI,600160.SH
CI005006.WI,600226.SH
CI005006.WI,600227.SH
CI005006.WI,600228.SH
CI005006.WI,600230.SH
CI005006.WI,600249.SH
CI005006.WI,600273.SH
CI005006.WI,600277.SH
CI005006.WI,600281.SH
CI005006.WI,600299.SH
CI005006.WI,600301.SH
CI005006.WI,600309.SH
CI005006.WI,600319.SH
CI005006.WI,600328.SH
CI005006.WI,600352.SH
CI005006.WI,600367.SH
CI005006.WI,600389.SH
CI005006.WI,600409.SH
CI005006.WI,600423.SH
CI005006.WI,600426.SH
CI005006.WI,600444.SH
CI005006.WI,600470.SH
CI005006.WI,600486.SH
CI005006.WI,600500.SH
CI005006.WI,600538.SH
CI005006.WI,600589.SH
CI005006.WI,600596.SH
CI005006.WI,600618.SH
CI005006.WI,600636.SH
CI005006.WI,600691.SH
CI005006.WI,600722.SH
CI005006.WI,600727.SH
CI005006.WI,600731.SH
CI005006.WI,600746.SH
CI005006.WI,600796.SH
CI005006.WI,600803.SH
CI005006.WI,600810.SH
CI005006.WI,600844.SH
CI005006.WI,600889.SH
CI005006.WI,600985.SH
CI005006.WI,601163.SH
CI005006.WI,601208.SH
CI005006.WI,601216.SH
CI005006.WI,601500.SH
CI005006.WI,601678.SH
CI005006.WI,601966.SH
CI005006.WI,603002.SH
CI005006.WI,603010.SH
CI005006.WI,603033.SH
CI005006.WI,603041.SH
CI005006.WI,603067.SH
CI005006.WI,603077.SH
CI005006.WI,603078.SH
CI005006.WI,603086.SH
CI005006.WI,603110.SH
CI005006.WI,603133.SH
CI005006.WI,603181.SH
CI005006.WI,603188.SH
CI005006.WI,603225.SH
CI005006.WI,603227.SH
CI005006.WI,603266.SH
CI005006.WI,603299.SH
CI005006.WI,603330.SH
CI005006.WI,603360.SH
